date,Close,High,Low,Open,Volume
2026-03-04,8901.2001953125,9077.2998046875,8878.7998046875,9077.2998046875,857900
2026-03-05,8940.2998046875,8964.099609375,8901.2001953125,8901.2001953125,819600
2026-03-06,8851.0,8940.2998046875,8811.599609375,8940.2998046875,770600
2026-03-09,8599.0,8851.0,8457.2001953125,8851.0,1033200
2026-03-10,8692.599609375,8750.599609375,8599.0,8599.0,777700
2026-03-11,8743.5,8759.5,8692.599609375,8692.599609375,832400
2026-03-12,8629.0,8743.5,8596.5,8743.5,948500
2026-03-13,8617.099609375,8664.599609375,8585.7001953125,8629.0,721200
2026-03-16,8583.400390625,8617.5,8563.2998046875,8617.099609375,743300
2026-03-17,8614.2998046875,8632.599609375,8576.599609375,8583.400390625,711600
2026-03-18,8640.599609375,8654.5,8602.0,8614.2998046875,721100
2026-03-19,8497.7998046875,8640.599609375,8485.2001953125,8640.599609375,1032200
2026-03-20,8428.400390625,8497.7998046875,8427.2001953125,8497.7998046875,2388400
2026-03-23,8365.900390625,8428.400390625,8262.400390625,8428.400390625,915900
2026-03-24,8379.400390625,8504.599609375,8365.900390625,8365.900390625,929700
2026-03-25,8557.599609375,8558.7001953125,8534.2998046875,8534.2998046875,40200
2026-03-26,8525.7001953125,8558.7001953125,8503.400390625,8534.2998046875,756700
2026-03-27,8516.2998046875,8525.7001953125,8455.7001953125,8525.7001953125,688000
2026-03-30,8461.0,8516.2998046875,8379.2998046875,8516.2998046875,768000
2026-03-31,8481.7998046875,8549.0,8410.599609375,8461.0,953000
2026-04-01,8671.7998046875,8671.7998046875,8481.7998046875,8481.7998046875,861400
2026-04-02,8579.5,8723.2998046875,8566.7998046875,8671.7998046875,884500
2026-04-07,8728.7998046875,8804.0,8579.5,8579.5,660800
2026-04-08,8951.7998046875,8986.099609375,8728.7998046875,8728.7998046875,1083400
2026-04-09,8973.2001953125,8973.2001953125,8904.900390625,8951.7998046875,725500
2026-04-10,8960.599609375,8973.2001953125,8905.2001953125,8973.2001953125,609200
2026-04-13,8926.0,8960.599609375,8889.599609375,8960.599609375,660300
2026-04-14,8970.7998046875,9021.5,8926.0,8926.0,641800
2026-04-15,8978.7001953125,9015.400390625,8970.7998046875,8970.7998046875,691500
2026-04-16,8955.0,9017.2001953125,8937.2998046875,8978.7001953125,728100
2026-04-17,8946.900390625,8955.0,8902.400390625,8955.0,777100
2026-04-20,8953.2998046875,8955.0,8898.400390625,8946.900390625,629600
2026-04-21,8949.400390625,8976.099609375,8911.5,8953.2998046875,793800
2026-04-22,8843.599609375,8949.400390625,8838.7001953125,8949.400390625,946600
2026-04-23,8793.400390625,8843.599609375,8747.7998046875,8843.599609375,700400
2026-04-24,8786.5,8798.599609375,8736.900390625,8793.400390625,612900
2026-04-27,8766.400390625,8786.5,8729.599609375,8786.5,449200
2026-04-28,8710.7001953125,8766.400390625,8693.400390625,8766.400390625,624200
2026-04-29,8687.0,8710.7001953125,8659.099609375,8710.7001953125,661600
2026-04-30,8665.7998046875,8687.0,8632.2001953125,8687.0,844800
2026-05-01,8729.7998046875,8764.099609375,8665.7998046875,8665.7998046875,567500
2026-05-04,8697.099609375,8738.099609375,8675.400390625,8729.7998046875,467500
2026-05-05,8680.5,8697.099609375,8621.599609375,8697.099609375,551200
2026-05-06,8793.599609375,8794.7001953125,8680.5,8680.5,748600
2026-05-07,8878.099609375,8887.900390625,8793.599609375,8793.599609375,991800
2026-05-08,8744.400390625,8878.099609375,8717.599609375,8878.099609375,665300
2026-05-11,8701.7998046875,8744.400390625,8643.5,8744.400390625,599700
2026-05-12,8670.7001953125,8713.400390625,8619.099609375,8701.7998046875,724300
2026-05-13,8630.400390625,8670.7001953125,8590.7001953125,8670.7001953125,639200
2026-05-14,8640.7001953125,8644.5,8602.900390625,8630.400390625,608800
2026-05-15,8630.7998046875,8691.900390625,8610.2998046875,8640.7001953125,626800
2026-05-18,8505.2998046875,8630.7998046875,8500.2001953125,8630.7998046875,664600
2026-05-19,8604.7001953125,8607.7001953125,8505.2998046875,8505.2998046875,746200
2026-05-20,8496.599609375,8604.7001953125,8485.2001953125,8604.7001953125,738800
2026-05-21,8621.7001953125,8649.7001953125,8496.599609375,8496.599609375,668600
2026-05-22,8657.0,8674.5,8621.7001953125,8621.7001953125,686600
2026-05-25,8692.0,8713.0,8644.7001953125,8657.0,554600
2026-05-26,8657.7998046875,8692.0,8628.900390625,8692.0,625300
2026-05-27,8717.7001953125,8717.7001953125,8625.7998046875,8657.7998046875,628600
2026-05-28,8592.900390625,8717.7001953125,8561.7998046875,8717.7001953125,691900
2026-05-29,8731.7001953125,8731.7001953125,8592.900390625,8592.900390625,1882300
2026-06-01,8729.400390625,8736.5,8697.2998046875,8731.7001953125,634400
2026-06-02,8724.400390625,8729.400390625,8625.7998046875,8729.400390625,804000
2026-06-03,8785.7001953125,8810.5,8724.400390625,8724.400390625,720400
2026-06-04,8686.099609375,8785.7001953125,8652.2001953125,8785.7001953125,675400
2026-06-05,8625.099609375,8705.099609375,8613.599609375,8686.099609375,616400
2026-06-09,8604.2001953125,8625.099609375,8490.900390625,8625.099609375,880900
2026-06-10,8653.2998046875,8670.2001953125,8585.5,8604.2001953125,814400
2026-06-11,8633.2001953125,8633.2001953125,8633.2001953125,8633.2001953125,0
