date,cash_rate_target
1990-05-02,15.0
1991-05-16,10.5
1992-05-06,6.5
1993-05-05,5.25
1994-05-04,4.75
1995-05-03,7.5
1996-05-08,7.5
1997-05-07,6.0
1997-05-23,5.5
1998-05-06,5.0
1999-05-05,4.75
2000-05-03,6.0
2001-05-02,5.0
2002-05-08,4.5
2003-05-07,4.75
2004-05-05,5.25
2005-05-04,5.5
2006-05-03,5.75
2007-05-02,6.25
2008-05-07,7.25
2009-05-06,3.0
2010-05-05,4.5
2011-05-04,4.75
2012-05-02,3.75
2013-05-08,2.75
2014-05-07,2.5
2015-05-06,2.0
2016-05-04,1.75
2017-05-03,1.5
2018-05-02,1.5
2019-05-08,1.5
2020-05-06,0.25
2021-05-05,0.1
2022-05-04,0.35
2023-05-03,3.85
2024-05-08,4.35
2025-05-21,3.85
2026-05-06,4.35
